Title,Description,URL
Numerical Reasoning Test,Assesses understanding of tables of statistical and numerical data,https://www.shl.com/shldirect/en/practice-tests/
Verbal Reasoning Test,Measures the ability to understand written information and evaluate arguments,https://www.shl.com/shldirect/en/practice-tests/
Inductive Reasoning Test,Evaluates ability to identify patterns and predict outcomes,https://www.shl.com/shldirect/en/practice-tests/
Deductive Reasoning Test,Measures logical conclusion skills based on given info,https://www.shl.com/shldirect/en/practice-tests/
Situational Judgment Test,Assesses decision making in work-related scenarios,https://www.shl.com/shldirect/en/practice-tests/
Personality Questionnaire,Evaluates personal behavioral preferences,https://www.shl.com/shldirect/en/practice-tests/
Motivation Questionnaire,Assesses work motivation factors,https://www.shl.com/shldirect/en/practice-tests/
Checking Test,Measures accuracy in identifying data errors,https://www.shl.com/shldirect/en/practice-tests/
Calculation Test,Assesses basic numerical computation skills,https://www.shl.com/shldirect/en/practice-tests/
General Ability Test,Comprehensive cognitive assessment,https://www.shl.com/shldirect/en/practice-tests/
Filing - Names (R1),Measures ability to sort names in alphabetical order,https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/
Contact Center Simulation,Assesses skills for customer support roles,https://www.shl.com/shldirect/en/practice-tests/
Coding Assessment,Evaluates technical programming skills,https://www.shl.com/solutions/products/assessments/skills-and-simulations/
Language Skills Assessment,Assesses proficiency in various languages,https://www.shl.com/solutions/products/assessments/skills-and-simulations/
Technical Skills Assessment,Measures technical knowledge like Cloud/Data Engineering,https://www.shl.com/solutions/products/assessments/skills-and-simulations/technical-skills/
